Transaction_ID,Items
T1,"30W USB-C Power Adapter, Apple Magic Mouse, MacBook Air M3, USB-C Charging Cable"
T2,iPhone 13 Pro
T3,iPad mini 7
T4,"Belkin MagSafe Charging Stand, iPhone 15 Pro Max"
T5,MacBook Pro M2
T6,"USB-C Charging Cable, iPhone 15 Pro Max, iPhone MagSafe Charging Dock"
T7,"Apple Watch Series 9, Apple Watch Trail Loop"
T8,Apple Watch Series 8
T9,Mac mini M4
T10,"AirPods Pro (2nd Gen), Anker MagSafe Charging Dock, Screen Protector, USB-C Charging Cable, iPhone 17 Air"
T11,Apple Watch Series 8
T12,"Anker MagSafe Charging Dock, Screen Protector, USB-C Charging Cable, iPhone 16 Pro"
T13,iPhone 16 Plus
T14,"65W USB-C Power Adapter, AirPods Pro (2nd Gen), MacBook Pro M2"
T15,"AirPods (3rd Gen), Belkin MagSafe Charging Stand, Screen Protector, USB-C Charging Cable, iPhone 15 Pro Max"
T16,"Apple Watch Charger, Apple Watch Series 9"
T17,AirPods (3rd Gen)
T18,"Apple Watch Charger, Apple Watch Milanese Loop, Apple Watch Series 11, Screen Protector (Watch)"
T19,"Anker MagSafe Charging Dock, USB-C Charging Cable, USB-C EarPods, iPhone 17 Pro, iPhone Case"
T20,"Belkin MagSafe Charging Stand, Lightning Charging Cable, iPhone 14 Pro Max"
T21,"Apple Pencil (USB-C), USB-C Charging Cable, iPad Air M2"
T22,"AirPods (3rd Gen), Lightning Charging Cable, Screen Protector, iPhone 13 Pro Max, iPhone MagSafe Charging Dock"
T23,"65W USB-C Power Adapter, Apple Magic Keyboard, MacBook Pro M1"
T24,"Apple Magic Keyboard, Apple Magic Mouse, LG UltraFine 5K Display, Mac mini M2, Marshall Emberton II, USB-C Hub"
T25,"Apple Magic Keyboard, Apple Magic Mouse, Mac mini M2 Pro"
T26,"Lightning Charging Cable, Lightning EarPods, iPhone 13 mini"
T27,"USB-C Charging Cable, iPhone 17"
T28,"30W USB-C Power Adapter, Laptop Sleeve, MacBook Air M1, USB-C Charging Cable"
T29,"USB-C Charging Cable, iPhone 16, iPhone Case, iPhone MagSafe Charging Dock"
T30,Marshall Stanmore III
T31,"AirPods (3rd Gen), Apple Magic Mouse, MacBook Air M3"
T32,"65W USB-C Power Adapter, Apple Magic Keyboard, MacBook Pro M1, USB-C Charging Cable"
T33,"Apple Watch Charger, Apple Watch Milanese Loop, Apple Watch Series 9"
T34,"Screen Protector (iPad), iPad mini 6"
T35,iPhone 13
T36,"AirPods Pro (2nd Gen), Anker MagSafe Charging Dock, Lightning Charging Cable, iPhone 14, iPhone Case"
T37,"Apple Pencil (2nd Gen), USB-C Charging Cable, iPad Magic Keyboard, iPad Pro M4 11-inch"
T38,"Anker MagSafe Charging Dock, iPhone 17 Pro Max, iPhone Case"
T39,"Mac mini M4, Studio Display"
T40,"Screen Protector (iPad), iPad Magic Keyboard, iPad Pro M4 13-inch"
T41,iPhone 15
T42,"Screen Protector (iPad), USB-C Charging Cable, iPad Magic Keyboard, iPad Pro M4 11-inch"
T43,"Apple Watch Charger, Apple Watch Series 10, Apple Watch Trail Loop"
T44,"AirPods (3rd Gen), iPhone 16 Plus, iPhone Case, iPhone MagSafe Charging Dock"
T45,"AirPods Pro (2nd Gen), Lightning Charging Cable, Screen Protector, iPhone 13 Pro Max, iPhone Case"
T46,"Apple Magic Keyboard, Apple Magic Mouse, Mac mini M4, USB-C Hub"
T47,"Anker MagSafe Charging Dock, USB-C Charging Cable, USB-C EarPods, iPhone 17 Pro"
T48,"Belkin MagSafe Charging Stand, Lightning Charging Cable, iPhone 13 Pro"
T49,"AirPods (3rd Gen), Lightning Charging Cable, iPhone 13, iPhone MagSafe Charging Dock"
T50,"USB-C Charging Cable, iPhone 16, iPhone Case, iPhone MagSafe Charging Dock"
T51,"30W USB-C Power Adapter, MacBook Air M1"
T52,"Mac mini M4, USB-C Hub"
T53,"65W USB-C Power Adapter, External SSD 1TB, MacBook Pro M3, USB-C Charging Cable"
T54,"AirPods (3rd Gen), USB-C Charging Cable, iPhone 17 Air, iPhone MagSafe Charging Dock"
T55,"AirPods Pro (2nd Gen), USB-C Charging Cable, iPhone 16 Plus"
T56,"Apple Magic Mouse, Mac mini M2 Pro, USB-C Hub"
T57,"Anker MagSafe Charging Dock, USB-C Charging Cable, USB-C EarPods, iPhone 16, iPhone Case"
T58,"USB-C Charging Cable, USB-C EarPods, iPhone 16 Plus"
T59,"USB-C Charging Cable, iPhone 16 Plus, iPhone Case"
T60,Apple Watch Series 8
T61,"Apple Watch Charger, Apple Watch Solo Loop, Apple Watch Ultra"
T62,"Marshall Stanmore III, Speaker Carry Case, USB-C Charging Cable"
T63,"65W USB-C Power Adapter, AirPods Pro (2nd Gen), Apple Magic Mouse, MacBook Pro M4"
T64,"Screen Protector (iPad), iPad mini 6"
T65,"Apple Watch Charger, Apple Watch Milanese Loop, Apple Watch Series 8"
T66,"Anker MagSafe Charging Dock, USB-C Charging Cable, USB-C EarPods, iPhone 16 Pro"
T67,"65W USB-C Power Adapter, MacBook Pro M3, USB-C Charging Cable"
T68,"Apple Watch Charger, Apple Watch Series 10, Apple Watch Sport Band"
T69,"Anker MagSafe Charging Dock, USB-C Charging Cable, iPhone 15, iPhone Case"
T70,Apple Watch Ultra 2
T71,"AirPods Pro (2nd Gen), Belkin MagSafe Charging Stand, Lightning Charging Cable, iPhone 14 Pro Max"
T72,"Screen Protector, USB-C Charging Cable, USB-C EarPods, iPhone 15, iPhone MagSafe Charging Dock"
T73,MacBook Pro M3
T74,"AirPods Pro (2nd Gen), Anker MagSafe Charging Dock, iPhone 13 mini, iPhone Case"
T75,"AirPods Pro (2nd Gen), Lightning Charging Cable, iPhone 13 mini"
T76,"Apple Pencil (2nd Gen), USB-C Charging Cable, iPad Magic Keyboard, iPad Pro M4 11-inch"
T77,"65W USB-C Power Adapter, MacBook Pro M4, USB-C Charging Cable"
T78,"Apple Watch Charger, Apple Watch Series 9, Apple Watch Solo Loop"
T79,iPhone 16 Plus
T80,"Anker MagSafe Charging Dock, Screen Protector, USB-C EarPods, iPhone 15, iPhone Case"
T81,"AirPods Pro (2nd Gen), Lightning Charging Cable, iPhone 13 mini"
T82,"AirPods Pro (2nd Gen), Belkin MagSafe Charging Stand, Screen Protector, USB-C Charging Cable, iPhone 17 Air, iPhone Case"
T83,iPad mini 6
T84,"Apple Watch Charger, Apple Watch Series 11"
T85,"30W USB-C Power Adapter, AirPods (3rd Gen), Apple Magic Mouse, MacBook Air M3, USB-C Charging Cable"
T86,"Apple Watch Charger, Apple Watch Series 11, Apple Watch Sport Band"
T87,"USB-C Charging Cable, USB-C EarPods, iPhone 17, iPhone MagSafe Charging Dock"
T88,"Apple Watch Milanese Loop, Apple Watch Series 9"
T89,iPhone 17 Pro Max
T90,"Apple Magic Keyboard, Mac mini M4"
T91,"30W USB-C Power Adapter, MacBook Air M2"
T92,"Screen Protector (iPad), USB-C Charging Cable, iPad Magic Keyboard, iPad Pro M4 13-inch"
T93,"USB-C Charging Cable, iPad Smart Folio, iPad mini 6"
T94,"AirPods (3rd Gen), MacBook Air M4"
