Transaction_ID,Items
T1,"Adjustable Phone Stand, AirTag, USB-C Charge Cable, iPhone 16 Pro, iPhone Clear Case, Accessories, iPhone"
T2,"Apple Watch Sport Band, Accessories"
T3,"Apple Watch Charging Dock, Belkin MagSafe 3-in-1 Charging Stand, iPad Screen Protector, Accessories"
T4,"Bose SoundLink Flex Speaker, Speaker Carrying Case, USB-C Charge Cable, Accessories, Speakers"
T5,"Anker 7-in-1 USB-C Hub, Laptop Backpack, Logitech MX Master 3S Mouse, MacBook Pro 14-inch, Samsung T7 1TB Portable SSD, Accessories, MacBook"
T6,"Apple Watch Ultra 2, iPhone 16 Pro, iPhone Clear Case, Accessories, Apple Watch, iPhone"
T7,"Apple Pencil (USB-C), iPad Air M3, iPad Screen Protector, Accessories, iPad"
T8,"Cable Organizer Set, Microfiber Cleaning Cloth, Accessories"
T9,"3.5mm Aux Cable, Anker 10000mAh Power Bank, Accessories"
T10,"Adjustable Phone Stand, ESR MagSafe Phone Case, USB-C Charge Cable, iPhone 17, iPhone Tempered Glass Screen Protector, Accessories, iPhone"
T11,"SanDisk 128GB microSD Card, Accessories"
T12,"Apple 20W USB-C Power Adapter, iPad Air M3, Accessories, iPad"
T13,"AirPods Max, Accessories"
T14,"1080p Webcam, Accessories"
T15,"Adjustable Monitor Stand, Accessories"
T16,"Apple Magic Mouse, Accessories"
T17,"AirPods Pro 2, AirPods Silicone Case Cover, Apple 20W USB-C Power Adapter, Apple Pencil (USB-C), Apple Pencil Pro, iPad Magic Keyboard, iPad Screen Protector, iPad mini 7, Accessories, iPad"
T18,"USB-C Charge Cable, iPhone SE, iPhone Silicone Case with MagSafe, iPhone Tempered Glass Screen Protector, Accessories, iPhone"
T19,"Apple Watch Ultra 2, Apple Watch"
T20,"13-inch Laptop Sleeve, MacBook Pro 14-inch, Accessories, MacBook"
T21,"13-inch Laptop Sleeve, Apple Magic Mouse, Apple Watch Sport Band, Accessories"
T22,"Apple 20W USB-C Power Adapter, Apple Pencil Pro, USB-C Charge Cable, USB-C to Lightning Cable, iPad Pro M4, Accessories, iPad"
T23,"Spigen Rugged Armor Phone Case, iPhone 16, iPhone Tempered Glass Screen Protector, Accessories, iPhone"
